IAU #	IAU Code	IAU Name
255	PUV	Puppids-Velids I Complex
256	ORN	Northern chi Orionids
257	ORS	Southern chi Orionids
258	DAR	December alpha Aurigids
259	CAR	Carinids Complex
260	GTI	gamma Triangulids
261	DDC	Daytime delta Scorpiids
262	KLI	Daytime kappa Librids
263	NAN	nu Andromedids
264	XCE	xi Cetids
265	JGD	January gamma Delphinids
266	ACC	alpha Cancrids
267	JNO	January nu Orionids
268	BCD	beta Cancrids
269	OCS	omega Cassiopeiids
270	FAO	Febuary alpha Orionids
271	MLY	March Lyncids
272	ACO	April  alpha Comae Berenicids
273	PBO	phi Bootids
274	NUM	nu Ursae Majorids
275	CLI	chi Librids
276	ADR	alpha Draconids
277	GCA	gamma Camelopardalids
278	MSR	July mu Serpendids
279	ZED	July zeta Draconids
280	ADL	delta Librids
281	OCT	October Camelopardalids
282	DCY	delta Cygnids
283	OPL	pi Leonids
284	OMA	omicron Ursae Majorids
285	GTA	gamma Taurids
286	FTA	omega Taurids
287	NER	November epsilon Eridanids
288	DSA	Southern December delta Arietids
289	DNA	Northern December delta Arietids
290	ALL	alpha Leonids Complex
291	GVR	gamma Virginids Complex
292	OPH	May Ophiuchids Complex
293	DCE	Daytime omega Cetids Complex
294	DMA	Daytime May Arietids Complex
295	JAQ	June Aquilids Complex
296	SIS	sigma Sagittariids Complex
297	DAQ	delta Aquariids Complex
298	IAQ	iota Aquariids Complex
299	OAR	October Arietids Complex
300	ZPU	zeta Puppids
301	PUP	gamma Puppids (Complex?)
302	PVE	b Puppids
303	LVL	lambda Velids
304	CVE	c Velids
305	SPU	sigma Puppids
306	COL	Columbids
307	TPU	tau Puppids
308	PIP	January pi Puppids
309	GVE	gamma Velids
310	APY	January alpha Pixidids
311	DVE	delta Velids
312	ECA	epsilon Carinids
313	ECR	eta Carinids
314	ACR	alpha Crucids
315	OCA	omega Centaurids
316	BHD	beta Hydrids
317	TCN	theta Centaurids
318	MVE	mu Velids
319	JLE	January Leonids
320	OSE	omega Serpentids
321	TCB	theta Coronae Borealids
322	LBO	lambda Bootids
323	XCB	xi Coronae Borealids
324	EPR	epsilon Perseids
325	DLT	Daytime lambda Taurids
326	EPG	epsilon Pegasids
327	BEQ	beta Equuleids
328	ALA	alpha Lacertids
330	SSE	sigma Serpentids
331	AHY	alpha Hydrids
332	BCB	Bootid-Coronae Borealid Complex
333	OCU	October Ursae Majorids
334	DAD	December alpha Draconids
335	XVI	December chi Virginids
336	DKD	December kappa Draconids
337	NUE	nu Eridanids
338	OER	omicron Eridanids
339	PSU	psi Ursae Majorids
340	TPY	theta Pyxidids
341	XUM	January xi Ursae Majorids
342	BPI	August beta Piscids
343	HVI	h Virginids
345	FHE	f Herculids
346	XHE	x Herculids
347	BPG	beta Pegasids
348	ARC	April rho Cygnids
349	LLY	lambda Lyrids
350	MAL	May Lacertids
351	DTR	Daytime Triangulids
352	ZOP	zeta Ophiuchids
353	SCT	sigma Cetids
354	DDT	Daytime delta Triangulids
355	XIC	Daytime xi Cetids
356	MVL	May Vulpeculids
357	PHP	phi Pegasids
358	TOP	tau Ophiuchids
359	MZC	May zeta Cygnids
360	PSP	psi Pegasids
361	TSR	theta Serpentids
362	JMC	June mu Cassiopeiids
363	ZER	zeta Eridanids
364	KCT	kappa Cetids
365	BCM	beta Camelopardalids
366	JBP	July beta Pegasids
